predator_mass	prey_mass
136080	39.84
136080	39.84
136080	47.471
136080	47.471
132190	33.102
132190	33.102
335150	110.9
247780	39.84
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	27.197
247780	33.102
247780	33.102
247780	33.102
247780	33.102
247780	33.102
247780	33.102
247780	33.102
247780	33.102
247780	33.102
247780	39.84
247780	39.84
247780	39.84
278120	2675
103630	0.13011
103630	0.32128
103630	0.37187
103630	0.42685
103630	0.42685
103630	0.48632
95627	0.10339
95627	0.13011
66452	0.37187
156700	0.19469
156700	0.55038
156700	0.61913
233460	8.0733
174610	70.992
174610	82.953
103630	0.19469
103630	0.32128
132190	0.080182
181650	82.953
167740	82.953
163270	96.23
163270	70.992
163270	70.992
163270	82.953
163270	96.23
156700	110.9
156700	127.03
136080	0.61913
181650	17.642
132190	0.10339
108640	0.1605
108640	0.19469
108640	0.2328
108640	0.2328
108640	0.27496
181650	0.42685
156700	0.1605
103630	427.8
103630	476.19
103630	528.2
78103	528.2
78103	583.95
136080	205.6
181650	164.01
181650	164.01
100380	267.6
100380	302.92
100380	302.92
100380	302.92
100380	341.3
100380	341.3
100380	341.3
100380	382.88
50707	23.557
50707	29.073
108640	267.6
156700	0.1605
294170	22.063
92543	11.559
92543	11.559
92543	11.559
92543	11.559
92543	11.559
92543	11.559
92543	11.559
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	14.019
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
92543	16.816
