;Max_length;Common_length;Source;
Chaetodontoplus mesoleucus;18;NA;Fishbase;
Chaetodontoplus niger;25;NA;Fishbase;
Chaetodontoplus personifer;35;NA;Fishbase;
Chaetodontoplus poliourus;8.6;NA;Fishbase;
Chaetodontoplus septentrionalis;22;NA;Fishbase;
Chaetodontoplus vanderloosi;12.5;NA;Fishbase;
Cheilinus abudjubbe;21.8;22;Fishbase;
Cheilinus chlorourus;45;NA;Fishbase;
Cheilinus fasciatus;40;NA;Fishbase;
Cheilinus lunulatus;50;35;Fishbase;
Cheilinus oxycephalus;17;NA;Fishbase;
Cheilinus quinquecinctus;40;NA;Fishbase;
Cheilinus trilobatus;45;NA;Fishbase;
Cheilio inermis;50;35;Fishbase;
Chelmon marginalis;18;NA;Fishbase;
Chelmon muelleri;20.5;NA;Fishbase;
Chelmon rostratus;20;NA;Fishbase;
Chelmonops curiosus;26;NA;Fishbase;
Chelmonops truncatus;22;NA;Fishbase;
Chlorurus atrilunula;30;NA;Fishbase;
Chlorurus bleekeri;49;NA;Fishbase;
Chlorurus bowersi;40;NA;Fishbase;
Chlorurus capistratoides;40;NA;Fishbase;
Chlorurus cyanescens;50;NA;Fishbase;
Chlorurus enneacanthus;50;NA;Fishbase;
Chlorurus frontalis;50;38;Fishbase;
Chlorurus genazonatus;31;NA;Fishbase;
Chlorurus gibbus;70;NA;Fishbase;
Chlorurus japanensis;31;NA;Fishbase;
Chlorurus microrhinos;70;49;Fishbase;
Chlorurus oedema;42;NA;Fishbase;
Chlorurus perspicillatus;60.9;NA;Fishbase;
Chlorurus rhakoura;44.2;NA;Fishbase;
Chlorurus sordidus;40;NA;Fishbase;
Chlorurus spilurus;30;NA;IUCN;
Chlorurus strongylocephalus;70;NA;Fishbase;
Chlorurus troschelii;34.6;NA;Fishbase;
Choerodon anchorago;50;NA;Fishbase;
Choerodon cephalotes;38;NA;Fishbase;
Choerodon fasciatus;30;NA;Fishbase;
Choerodon frenatus;NA;NA;Fishbase;
Choerodon gomoni;10.3;NA;Fishbase;
Choerodon graphicus;51.5;NA;Fishbase;
Choerodon gymnogenys;20;NA;Fishbase;
Choerodon jordani;17;NA;Fishbase;
Choerodon margaritiferus;11;NA;Fishbase;
Choerodon melanostigma;6.2;NA;IUCN;
Choerodon monostigma;25;NA;Fishbase;
Choerodon oligacanthus;28.2;NA;Fishbase;
Choerodon paynei;NA;NA;Fishbase;
Choerodon robustus;35;NA;Fishbase;
Choerodon rubescens;90;NA;Fishbase;
Choerodon sugillatum;24;NA;Fishbase;
Choerodon venustus;65;NA;Fishbase;
Choerodon vitta;20;NA;Fishbase;
Choerodon zamboangae;45;NA;Fishbase;
Choerodon zosterophorus;25;NA;Fishbase;
Cirrhilabrus adornatus;6.3;NA;Fishbase;
Cirrhilabrus aurantidorsalis;10;NA;Fishbase;
Cirrhilabrus balteatus;10;NA;Fishbase;
Cirrhilabrus bathyphilus;7.6;NA;Fishbase;
Cirrhilabrus beauperryi;8.5;NA;Fishbase;
Cirrhilabrus blatteus;16;NA;Fishbase;
Cirrhilabrus brunneus;4.4;NA;Fishbase;
Cirrhilabrus cenderawasih;6.5;NA;Fishbase;
Cirrhilabrus claire;8.4;NA;Fishbase;
Cirrhilabrus condei;8;NA;Fishbase;
Cirrhilabrus cyanopleura;15;NA;Fishbase;
Cirrhilabrus earlei;6.9;NA;Fishbase;
Cirrhilabrus exquisitus;12;NA;Fishbase;
Cirrhilabrus filamentosus;8;NA;Fishbase;
Cirrhilabrus flavidorsalis;6.5;NA;Fishbase;
Cirrhilabrus joanallenae;8.5;NA;Fishbase;
Cirrhilabrus johnsoni;6;4.7;Fishbase;
Cirrhilabrus jordani;10;NA;Fishbase;
Cirrhilabrus katherinae;7.1;NA;Fishbase;
Cirrhilabrus katoi;7.5;NA;Fishbase;
Cirrhilabrus laboutei;12;NA;Fishbase;
Cirrhilabrus lanceolatus;8.8;NA;Fishbase;
Cirrhilabrus lineatus;12;NA;Fishbase;
Cirrhilabrus lubbocki;8;NA;Fishbase;
Cirrhilabrus lunatus;8.5;NA;Fishbase;
Cirrhilabrus luteovittatus;12;NA;Fishbase;
Cirrhilabrus marjorie;5.8;NA;Fishbase;
Cirrhilabrus melanomarginatus;13;NA;Fishbase;
Cirrhilabrus morrisoni;5.5;NA;Fishbase;
Cirrhilabrus punctatus;13;NA;Fishbase;
Cirrhilabrus pylei;9;NA;Fishbase;
Cirrhilabrus randalli;8.4;NA;Fishbase;
Cirrhilabrus rhomboidalis;8.5;6.7;Fishbase;
Cirrhilabrus roseafascia;10;NA;Fishbase;
Cirrhilabrus rubrimarginatus;12.2;NA;Fishbase;
Cirrhilabrus rubripinnis;9.1;NA;Fishbase;
Cirrhilabrus rubrisquamis;7.2;NA;Fishbase;
Cirrhilabrus rubriventralis;7.5;NA;Fishbase;
Cirrhilabrus sanguineus;6.7;NA;Fishbase;
Cirrhilabrus scottorum;13;NA;Fishbase;
Cirrhilabrus solorensis;11;NA;Fishbase;
Cirrhilabrus temminckii;9.9;NA;Fishbase;
Cirrhilabrus tonozukai;7.5;NA;Fishbase;
Cirrhilabrus walindi;7;NA;Fishbase;
Cirrhilabrus walshi;6.3;NA;Fishbase;
Clepticus africanus;NA;NA;Fishbase;
Clepticus brasiliensis;NA;NA;Fishbase;
Clepticus parrae;30;22;Fishbase;
Conniella apterygia;8;NA;Fishbase;
Coradion altivelis;18;NA;Fishbase;
Coradion chrysozonus;15;NA;Fishbase;
Coradion melanopus;15;NA;Fishbase;
Coris atlantica;25;NA;Fishbase;
Coris auricularis;40;NA;Fishbase;
Coris aurilineata;14;NA;Fishbase;
Coris aygula;120;NA;Fishbase;
Coris ballieui;30;NA;Fishbase;
Coris batuensis;17;NA;Fishbase;
Coris bulbifrons;60;NA;Fishbase;
Coris caudimacula;20;NA;Fishbase;
Coris centralis;9.2;NA;Fishbase;
Coris cuvieri;38;NA;Fishbase;
Coris debueni;27;NA;Fishbase;
Coris dorsomacula;38;NA;Fishbase;
Coris flavovittata;50.8;NA;Fishbase;
Coris formosa;60;NA;Fishbase;
Coris gaimard;40;20;Fishbase;
Coris hewetti;13.9;NA;Fishbase;
Coris julis;30;20;Fishbase;
Coris marquesensis;23;NA;Fishbase;
Coris musume;NA;NA;Fishbase;
Coris nigrotaenia;43.5;NA;Fishbase;
Coris picta;25;NA;Fishbase;
Coris pictoides;15;NA;Fishbase;
Coris roseoviridis;19.8;NA;Fishbase;
Coris sandeyeri;25;NA;Fishbase;
Coris variegata;20;NA;Fishbase;
Coris venusta;19.3;NA;Fishbase;
Cratinus agassizii;60;30;Fishbase;
Cryptotomus roseus;13;10;Fishbase;
Ctenochaetus binotatus;22;NA;Fishbase;
Ctenochaetus cyanocheilus;16;NA;Fishbase;
Ctenochaetus flavicauda;11.8;NA;Fishbase;
Ctenochaetus hawaiiensis;25;NA;Fishbase;
Ctenochaetus marginatus;27;NA;Fishbase;
Ctenochaetus striatus;26;18;Fishbase;
Ctenochaetus strigosus;14.6;NA;Fishbase;
Ctenochaetus tominiensis;16;NA;Fishbase;
Ctenochaetus truncatus;16;NA;Fishbase;
Ctenolabrus rupestris;18;11;Fishbase;
Cybiosarda elegans;45;35;Fishbase;
Cymolutes lecluse;17.8;NA;Fishbase;
Cymolutes praetextatus;20;NA;Fishbase;
Cymolutes torquatus;20;NA;Fishbase;
Decodon grandisquamis;18.5;NA;Fishbase;
Decodon melasma;32.3;16;Fishbase;
Decodon pacificus;16;NA;Fishbase;
Decodon puellaris;30;22;Fishbase;
Diplectrum conceptione;25;18;Fishbase;
Diplectrum eumelum;31;15;Fishbase;
Diplectrum euryplectrum;20;15;Fishbase;
Diplectrum labarum;26;NA;Fishbase;
Diplectrum macropoma;18;NA;Fishbase;
Diplectrum maximum;37;NA;Fishbase;
Diplectrum pacificum;28;NA;Fishbase;
Diplectrum rostrum;21;NA;Fishbase;
Diplectrum sciurus;17;NA;Fishbase;
