Source;Target
Loligo pealei or Illex illecebrosus;Belone belone
Macroparalepis affinis;Belone belone
Maurolicus muelleri;Belone belone
Meganyctiphanes norvegica;Belone belone
Microchirus variegatus;Belone belone
Micromesistius potassou;Belone belone
Myctophid;Belone belone
Myctophum punctatum;Belone belone
Mysidacea;Belone belone
Notoscopelus kroeyeri;Belone belone
Notothenia gibberifrons;Belone belone
Octopoteuthis sp;Belone belone
Ophidion elongatus;Belone belone
Paralepididae sp;Belone belone
Parathemisto gaudichaudi;Belone belone
Peprilus triacanthus;Belone belone
Rockling;Belone belone
Scaldfish;Belone belone
Scomberesox saurus;Belone belone
Scyliorhinus canicula;Belone belone
Sepiolidae;Belone belone
Serranus hepatus;Belone belone
silversides, anchovies and 'other fish prey';Belone belone
Sprattus sprattus;Belone belone
squid unidentified;Belone belone
Symbolophorus veranyi;Belone belone
teleosts/molluscs/crustaceans;Belone belone
Themisto pacifica;Belone belone
Trisopterus esmarkii;Belone belone
unidentified invertebrate;Belone belone
unidentified squid;Belone belone
Ammodytes hexapterus;Belone belone
Anarhichas lupus;Belone belone
Anarhichas minor;Belone belone
Arnoglossus imperialis;Belone belone
Chionodraco rastrospinosus;Belone belone
Clupea pallasii;Belone belone
Dicentrarchus labrax;Belone belone
Gasterosteus aculeatus;Belone belone
Gilbertidia sigalutes;Belone belone
Hemilepidotus hemilepidotus;Belone belone
Hexagrammos decagrammus;Belone belone
Hypomesus pretiosus;Belone belone
Nototheniops larseni;Belone belone
Oncorhynchus gorbuscha;Belone belone
Oncorhynchus keta;Belone belone
Ophiodon elongatus;Belone belone
Pleuragramma antarcticum;Belone belone
Psychrolutes paradoxus;Belone belone
Thaleichthys pacificus;Belone belone
Theragra chalcogramma;Belone belone
Calanoides acutus;Benthosema glaciale
Calanus propinquus;Benthosema glaciale
Calanus sp.;Benthosema glaciale
Clupea pallasii;Benthosema glaciale
copepod;Benthosema glaciale
Copepod egg;Benthosema glaciale
crab megalope;Benthosema glaciale
Decapod zoea;Benthosema glaciale
Eucalanus bungii;Benthosema glaciale
isopod;Benthosema glaciale
Lumpenus sagitta;Benthosema glaciale
Rhincalanus gigas;Benthosema glaciale
Roundworm;Benthosema glaciale
Schistomysis spiritus;Benthosema glaciale
Thysanoessa inermis;Benthosema glaciale
Thysanoessa spinefera;Benthosema glaciale
Benthosema glaciale;Benthosema glaciale
Carangoides sp.;Benthosema glaciale
Ceratoscopelus maderensis;Benthosema glaciale
Cynoglossus sp.;Benthosema glaciale
Diaphus garmani;Benthosema glaciale
Lampanyctus crocodilus;Benthosema glaciale
Notolepis rissoi;Benthosema glaciale
Calanoides acutus;Bivalve
Calanus pacificus;Bivalve
Calanus propinquus;Bivalve
Calanus sp.;Bivalve
cladocera;Bivalve
Clupea pallasii;Bivalve
copepod;Bivalve
Copepod egg;Bivalve
crab megalope;Bivalve
Cyclopoid copepodite;Bivalve
Decapod zoea;Bivalve
Eucalanus bungii;Bivalve
Eucalanus sp.;Bivalve
Euchaeta sp.;Bivalve
isopod;Bivalve
Lumpenus sagitta;Bivalve
Metridia gerlacei;Bivalve
Metridia sp.;Bivalve
Oikopleura;Bivalve
Ostracod;Bivalve
Rhincalanus gigas;Bivalve
Schistomysis spiritus;Bivalve
Unidentified;Bivalve
Unidentified crustacean;Bivalve
Ceratoscopelus maderensis;Bivalve
Cynoglossus sp.;Bivalve
Lampanyctus crocodilus;Bivalve
Notolepis rissoi;Bivalve
Pteropod;brachyura larvae
Radiolaria;brachyura larvae
Agonus cataphractus;Brama brama
Ammodytes sp.;Brama brama
Arctozenus risso;Brama brama
Benthosema glaciale;Brama brama
Bivalve;Brama brama
Buglossidium luteum;Brama brama
Callionymus lyra;Brama brama
Callionymus maculatus;Brama brama
Capros aper;Brama brama
Ceratoscopelus maderensis;Brama brama
Chaetognatha;Brama brama
Clupeoid;Brama brama
crustacean;Brama brama
crustacean larva;Brama brama
Deltentosteus quadrimaculatus;Brama brama
Euphausid furcilia;Brama brama
fish;Brama brama
fish larvae;Brama brama
flatfish;Brama brama
Funchalia woodwardii;Brama brama
Gadiculus argenteus;Brama brama
Gadiculus sp.;Brama brama
Gadoid;Brama brama
Gaidropsarus sp.;Brama brama
Gaidropsarus vulgaris;Brama brama
gastropod;Brama brama
gelatinous;Brama brama
Glyptocephalus cynoglossus;Brama brama
Goby;Brama brama
Gonostomatidae sp.;Brama brama
Gurnard;Brama brama
Hatchet fish;Brama brama
Hippoglossoides platessoides;Brama brama
Insects;Brama brama
Lepidotrigla cavillone;Brama brama
Lobianchia gemellari;Brama brama
Loligo pealei or Illex illecebrosus;Brama brama
Macroparalepis affinis;Brama brama
Mastigoteuthis sp;Brama brama
Maurolicus muelleri;Brama brama
Meganyctiphanes norvegica;Brama brama
Microchirus variegatus;Brama brama
Micromesistius potassou;Brama brama
Myctophid;Brama brama
Myctophum punctatum;Brama brama
Mysidacea;Brama brama
Notoscopelus kroeyeri;Brama brama
Notothenia gibberifrons;Brama brama
Octopoteuthis sp;Brama brama
Ophidion elongatus;Brama brama
Paralepididae sp;Brama brama
Parathemisto gaudichaudi;Brama brama
Peprilus triacanthus;Brama brama
Rockling;Brama brama
Scaldfish;Brama brama
Scomberesox saurus;Brama brama
Scyliorhinus canicula;Brama brama
Sepiolidae;Brama brama
Serranus hepatus;Brama brama
silversides, anchovies and 'other fish prey';Brama brama
Sprattus sprattus;Brama brama
squid unidentified;Brama brama
Symbolophorus veranyi;Brama brama
teleosts/molluscs/crustaceans;Brama brama
Themisto pacifica;Brama brama
Trisopterus esmarkii;Brama brama
Trisopterus minutus;Brama brama
unidentified invertebrate;Brama brama
unidentified squid;Brama brama
Ammodytes hexapterus;Brama brama
Anarhichas lupus;Brama brama
Anarhichas minor;Brama brama
Arnoglossus imperialis;Brama brama
Chionodraco rastrospinosus;Brama brama
Clupea pallasii;Brama brama
Dicentrarchus labrax;Brama brama
Gasterosteus aculeatus;Brama brama
Gilbertidia sigalutes;Brama brama
Hemilepidotus hemilepidotus;Brama brama
Hexagrammos decagrammus;Brama brama
Hypomesus pretiosus;Brama brama
Nototheniops larseni;Brama brama
Oncorhynchus gorbuscha;Brama brama
Oncorhynchus keta;Brama brama
Ophiodon elongatus;Brama brama
Pleuragramma antarcticum;Brama brama
Psychrolutes paradoxus;Brama brama
Thaleichthys pacificus;Brama brama
Theragra chalcogramma;Brama brama
Agonus cataphractus;Brevoortia sp.
amphipod;Brevoortia sp.
Arctozenus risso;Brevoortia sp.
Benthosema glaciale;Brevoortia sp.
Bivalve;Brevoortia sp.
Buglossidium luteum;Brevoortia sp.
Callionymus maculatus;Brevoortia sp.
Capros aper;Brevoortia sp.
Ceratoscopelus maderensis;Brevoortia sp.
Chaetognatha;Brevoortia sp.
Clupeoid;Brevoortia sp.
crustacean;Brevoortia sp.
crustacean larva;Brevoortia sp.
Deltentosteus quadrimaculatus;Brevoortia sp.
E.superba furcilia;Brevoortia sp.
Euphausa superba;Brevoortia sp.
euphausia;Brevoortia sp.
Euphausid furcilia;Brevoortia sp.
fish larvae;Brevoortia sp.
Gadiculus argenteus;Brevoortia sp.
Gadiculus sp.;Brevoortia sp.
Gaidropsarus sp.;Brevoortia sp.
Gaidropsarus vulgaris;Brevoortia sp.
gastropod;Brevoortia sp.
gelatinous;Brevoortia sp.
Glyptocephalus cynoglossus;Brevoortia sp.
Goby;Brevoortia sp.
Gonostomatidae sp.;Brevoortia sp.
Hatchet fish;Brevoortia sp.
Hyperidae;Brevoortia sp.
Insects;Brevoortia sp.
Lepidotrigla cavillone;Brevoortia sp.
Lobianchia gemellari;Brevoortia sp.
Loligo pealei or Illex illecebrosus;Brevoortia sp.
Macroparalepis affinis;Brevoortia sp.
Maurolicus muelleri;Brevoortia sp.
Meganyctiphanes norvegica;Brevoortia sp.
Myctophid;Brevoortia sp.
Myctophum punctatum;Brevoortia sp.
Mysidacea;Brevoortia sp.
Notothenia gibberifrons;Brevoortia sp.
Notothenia neglecta;Brevoortia sp.
Nototheniops larseni;Brevoortia sp.
Octopoteuthis sp;Brevoortia sp.
Ophidion elongatus;Brevoortia sp.
Paralepididae sp;Brevoortia sp.
Parathemisto gaudichaudi;Brevoortia sp.
Rockling;Brevoortia sp.
Scaldfish;Brevoortia sp.
Scyliorhinus canicula;Brevoortia sp.
Sepiolidae;Brevoortia sp.
Serranus hepatus;Brevoortia sp.
silversides, anchovies and 'other fish prey';Brevoortia sp.
Sprattus sprattus;Brevoortia sp.
Themisto pacifica;Brevoortia sp.
Thysanoessa macrura;Brevoortia sp.
Thysanoessa raschii;Brevoortia sp.
unidentified squid;Brevoortia sp.
Ammodytes hexapterus;Brevoortia sp.
Anarhichas lupus;Brevoortia sp.
Anarhichas minor;Brevoortia sp.
Chionodraco rastrospinosus;Brevoortia sp.
Dicentrarchus labrax;Brevoortia sp.
Gasterosteus aculeatus;Brevoortia sp.
Gilbertidia sigalutes;Brevoortia sp.
Hemilepidotus hemilepidotus;Brevoortia sp.
Hemilepidotus spinosus;Brevoortia sp.
Hexagrammos decagrammus;Brevoortia sp.
Lumpenus sagitta;Brevoortia sp.
Nototheniops larseni;Brevoortia sp.
Oncorhynchus gorbuscha;Brevoortia sp.
Oncorhynchus keta;Brevoortia sp.
Ophiodon elongatus;Brevoortia sp.
Pleuragramma antarcticum;Brevoortia sp.
Psychrolutes paradoxus;Brevoortia sp.
Rhamphocottus richardsoni;Brevoortia sp.
Theragra chalcogramma;Brevoortia sp.
Radiolaria;bryozoa larvae
amphipod;Buglossidium luteum
Bivalve;Buglossidium luteum
Calliopius sp.;Buglossidium luteum
Clupea pallasii;Buglossidium luteum
Copepod copepodite;Buglossidium luteum
Copepod egg;Buglossidium luteum
copepod nauplius;Buglossidium luteum
E.superba furcilia;Buglossidium luteum
Euphausa superba;Buglossidium luteum
euphausia;Buglossidium luteum
gastropod;Buglossidium luteum
Hyperidae;Buglossidium luteum
Insects;Buglossidium luteum
Notothenia neglecta;Buglossidium luteum
Nototheniops larseni;Buglossidium luteum
Ophidion elongatus;Buglossidium luteum
Pleuragramma antarcticum;Buglossidium luteum
Roundworm;Buglossidium luteum
Schistomysis spiritus;Buglossidium luteum
Theragra chalcogramma;Buglossidium luteum
Thysanoessa inermis;Buglossidium luteum
Thysanoessa macrura;Buglossidium luteum
Thysanoessa raschii;Buglossidium luteum
Thysanoessa spinefera;Buglossidium luteum
Acanthocepola sp.;Buglossidium luteum
Ammodytes hexapterus;Buglossidium luteum
Benthosema glaciale;Buglossidium luteum
Carangoides sp.;Buglossidium luteum
Ceratoscopelus maderensis;Buglossidium luteum
Chionodraco rastrospinosus;Buglossidium luteum
Cynoglossus sp.;Buglossidium luteum
Diaphus garmani;Buglossidium luteum
Hemilepidotus spinosus;Buglossidium luteum
Hygophum benoiti;Buglossidium luteum
Lampanyctus crocodilus;Buglossidium luteum
Lumpenella longirostris;Buglossidium luteum
Lumpenus sagitta;Buglossidium luteum
Merluccius productus;Buglossidium luteum
Myctophum asperum;Buglossidium luteum
Myctophum punctatum;Buglossidium luteum
Notolepis rissoi;Buglossidium luteum
Psychrolutes paradoxus;Buglossidium luteum
Rhamphocottus richardsoni;Buglossidium luteum
Scorpaenodes sp.;Buglossidium luteum
Sebastes sp.;Buglossidium luteum
Radiolaria;Calanoid copepodite
Appendicularians;Calanoides acutus
bryozoa larvae;Calanoides acutus
calanoid egg;Calanoides acutus
Centropages typicus - nauplius;Calanoides acutus
Clausocalanus sp.;Calanoides acutus
Copepod nauplius;Calanoides acutus
Copepoda juv.;Calanoides acutus
egg;Calanoides acutus
Limacina helicina;Calanoides acutus
Oithona sp.;Calanoides acutus
Oncaea sp.;Calanoides acutus
Pteropod;Calanoides acutus
Tintinnid;Calanoides acutus
Unidentified crustacean egg;Calanoides acutus
Copepod nauplius;Calanus pacificus
Copepoda juv.;Calanus pacificus
Pteropod;Calanus pacificus
Radiolaria;Calanus pacificus
Appendicularians;Calanus propinquus
calanoid egg;Calanus propinquus
Centropages typicus - nauplius;Calanus propinquus
Clausocalanus sp.;Calanus propinquus
Copepod nauplius;Calanus propinquus
Copepoda juv.;Calanus propinquus
egg;Calanus propinquus
Limacina helicina;Calanus propinquus
Oithona sp.;Calanus propinquus
Pteropod;Calanus propinquus
Tintinnid;Calanus propinquus
Appendicularians;Calanus sp.
calanoid egg;Calanus sp.
Centropages typicus - nauplius;Calanus sp.
Clausocalanus sp.;Calanus sp.
Copepod nauplius;Calanus sp.
Copepoda juv.;Calanus sp.
egg;Calanus sp.
Limacina helicina;Calanus sp.
Oithona sp.;Calanus sp.
Pteropod;Calanus sp.
Tintinnid;Calanus sp.
amphipod;Callionymus lyra
Benthosema glaciale;Callionymus lyra
Bivalve;Callionymus lyra
Calliopius sp.;Callionymus lyra
Copepod copepodite;Callionymus lyra
Copepod egg;Callionymus lyra
copepod nauplius;Callionymus lyra
crustacean larva;Callionymus lyra
E.superba furcilia;Callionymus lyra
Euphausa superba;Callionymus lyra
euphausia;Callionymus lyra
fish larvae;Callionymus lyra
gastropod;Callionymus lyra
Goby;Callionymus lyra
Hyperidae;Callionymus lyra
Insects;Callionymus lyra
Loligo pealei or Illex illecebrosus;Callionymus lyra
Meganyctiphanes norvegica;Callionymus lyra
Notothenia gibberifrons;Callionymus lyra
Notothenia neglecta;Callionymus lyra
Nototheniops larseni;Callionymus lyra
Ophidion elongatus;Callionymus lyra
Pleuragramma antarcticum;Callionymus lyra
Roundworm;Callionymus lyra
Schistomysis spiritus;Callionymus lyra
Themisto pacifica;Callionymus lyra
Theragra chalcogramma;Callionymus lyra
Thysanoessa inermis;Callionymus lyra
Thysanoessa macrura;Callionymus lyra
Thysanoessa raschii;Callionymus lyra
Thysanoessa spinefera;Callionymus lyra
Acanthocepola sp.;Callionymus lyra
Ammodytes hexapterus;Callionymus lyra
Anarhichas lupus;Callionymus lyra
Anarhichas minor;Callionymus lyra
Benthosema glaciale;Callionymus lyra
Carangoides sp.;Callionymus lyra
Ceratoscopelus maderensis;Callionymus lyra
Chionodraco rastrospinosus;Callionymus lyra
Diaphus garmani;Callionymus lyra
Dicentrarchus labrax;Callionymus lyra
Gilbertidia sigalutes;Callionymus lyra
Hemilepidotus hemilepidotus;Callionymus lyra
