"" "" "pL" "pCooc"
"395" "SP44" "SP12" "2.78868652967011e-06" NA
"396" "SP51" "SP12" "6.13415498227277e-06" NA
"397" "SP61" "SP12" "0.000252685919835469" NA
"398" "SP62" "SP12" "2.52947179407132e-05" NA
"399" "SP63" "SP12" "7.34796740726531e-05" NA
"400" "SP65" "SP12" "0.000252685919835469" NA
"401" "SP66" "SP12" "0.000117208714183029" NA
"402" "SP71" "SP12" "2.52947179407132e-05" NA
"403" "SP72" "SP12" "8.67566208029338e-06" NA
"404" "SP73" "SP12" "6.36738500355139e-06" NA
"405" "SP74" "SP12" "1.72243112180698e-05" NA
"406" "SP75" "SP12" "1.62460487735307e-06" NA
"407" "SP76" "SP12" "4.14183593919087e-06" NA
"408" "SP77" "SP12" "1.62460487735307e-06" NA
"409" "SP78" "SP12" "2.17768261101157e-06" NA
"410" "SP79" "SP12" "6.61138803593184e-06" NA
"411" "SP80" "SP12" "1.57207408607146e-05" NA
"412" "SP81" "SP12" "1.62460487735307e-06" NA
"413" "SP82" "SP12" "4.43820375082506e-06" NA
"414" "SP83" "SP12" NA NA
"415" "SP90" "SP12" "0.000154117532558644" NA
"416" "SP91" "SP12" "8.67566208029338e-06" NA
"417" "SP92" "SP12" "0.00016161209754893" NA
"418" "SP93" "SP12" "7.34796740726531e-05" NA
"419" "SP94" "SP12" "0.000327834286943916" NA
"420" "SP95" "SP12" "0.000953538182399699" NA
"421" "SP96" "SP12" "0.000393685347691802" NA
"422" "SP97" "SP12" "0.000275105503105807" NA
"423" "SP98" "SP12" NA NA
"424" "SP99" "SP12" "0.000358892462285466" NA
"425" "SP100" "SP12" "0.000252685919835469" NA
"426" "SP101" "SP12" "0.00080376184822628" NA
"427" "SP102" "SP12" "6.48552439772409e-05" NA
"428" "SP106" "SP12" "0.000154117532558644" NA
"429" "SP111" "SP12" "2.52947179407132e-05" NA
"430" "SP121" "SP12" "0.00037233248193473" NA
"431" "SP131" "SP12" "2.38591100335956e-06" NA
"432" "SP132" "SP12" "6.8562522770566e-07" NA
"433" "SP133" "SP12" "0.000310793056554798" NA
"434" "SP135" "SP12" "9.03059542655974e-06" NA
"435" "SP141" "SP12" "0.00593843589103876" NA
"436" "SP151" "SP12" "0.000102045240808848" NA
"437" "SP152" "SP12" "0.000145529727917509" NA
"438" "SP160" "SP12" "2.52947179407132e-05" NA
"439" "SP161" "SP12" "4.29757337867061e-05" NA
"440" "SP162" "SP12" "4.81556212692357e-05" NA
"441" "SP163" "SP12" "4.54757850963507e-05" NA
"442" "SP164" "SP12" "0.000232482916034602" NA
"443" "SP165" "SP12" "5.74374163592398e-05" NA
"444" "SP166" "SP12" "3.74062642770027e-06" NA
"445" "SP167" "SP12" "0.000117208714183029" NA
"446" "SP168" "SP12" "2.79896041366316e-05" NA
"447" "SP169" "SP12" "0.000109304611925448" NA
"448" "SP170" "SP12" "2.29087791866593e-05" NA
"449" "SP171" "SP12" "2.66007048976365e-05" NA
"450" "SP172" "SP12" "2.07907710651485e-05" NA
"451" "SP173" "SP12" "2.40658520240527e-05" NA
"452" "SP174" "SP12" "3.74062642770027e-06" NA
"453" "SP175" "SP12" "5.49371814682216e-06" NA
"454" "SP177" "SP12" "3.0242348861716e-05" NA
"455" "SP180" "SP12" "0.00146404637409733" NA
"456" "SP181" "SP12" "0.0005265148315731" NA
"457" "SP182" "SP12" "0.023483682681872" NA
"458" "SP183" "SP12" "0.0110253432317985" NA
"459" "SP184" "SP12" "0.00885992460804905" NA
"460" "SP185" "SP12" "0.00146594911930313" NA
"461" "SP186" "SP12" "5.91114338848791e-06" NA
