"sub_ESP" "" ""
"182" "ESP_592" "Sparisoma_cretense" "1.69897000433602"
"183" "ESP_481" "Trachinus_araneus" "1.69897000433602"
"184" "ESP_483" "Trachinus_radiatus" "1.69897000433602"
"185" "ESP_496" "Xyrichthys_novacula" "1.69897000433602"
"186" "ESP_104" "Platichthys_luscus" "1.74036268949424"
"187" "ESP_267" "Dactylopterus_volitans" "1.74036268949424"
"188" "ESP_282" "Diplodus_cervinus_cervinus" "1.74036268949424"
"189" "ESP_421" "Sciaena_umbra" "1.74036268949424"
"190" "ESP_453" "Stromateus_fiatola" "1.74036268949424"
"191" "ESP_232" "Belone_svetovidovi" "1.75587485567249"
"192" "ESP_69" "Eutrigla_gurnardus" "1.77815125038364"
"193" "ESP_218" "Apterichtus_anguiformis" "1.77815125038364"
"194" "ESP_219" "Apterichtus_caecus" "1.77815125038364"
"195" "ESP_247" "Caranx_rhonchus" "1.77815125038364"
"196" "ESP_283" "Diplodus_puntazzo" "1.77815125038364"
"197" "ESP_298" "Gaidropsarus_vulgaris" "1.77815125038364"
"198" "ESP_374" "Pagellus_erythrinus" "1.77815125038364"
"199" "ESP_385" "Phycis_phycis" "1.77815125038364"
"200" "ESP_386" "Platichthys_flesus" "1.77815125038364"
"201" "ESP_274" "Dentex_macrophthalmus" "1.81291335664286"
"202" "ESP_97" "Panturichthys_fowleri" "1.84509804001426"
"203" "ESP_208" "Alosa_alosa" "1.84509804001426"
"204" "ESP_586" "Cepola_macrophthalma" "1.84509804001426"
"205" "ESP_277" "Dicentrarchus_punctatus" "1.84509804001426"
"206" "ESP_340" "Liza_ramada" "1.84509804001426"
"207" "ESP_439" "Solea_vulgaris" "1.84509804001426"
"208" "ESP_440" "Sparus_aurata" "1.84509804001426"
"209" "ESP_449" "Spondyliosoma_cantharus" "1.84509804001426"
"210" "ESP_498" "Zeus_faber" "1.84509804001426"
"211" "ESP_243" "Campogramma_glaycos" "1.8750612633917"
"212" "ESP_345" "Merlangius_merlangus" "1.8750612633917"
"213" "ESP_487" "Trigla_lucerna" "1.8750612633917"
"214" "ESP_591" "Kyphosus_sectator" "1.88081359228079"
"215" "ESP_360" "Mycteroperca_rubra" "1.90308998699194"
"216" "ESP_375" "Pagrus_auriga" "1.90308998699194"
"217" "ESP_377" "Pagrus_pagrus" "1.90308998699194"
"218" "ESP_387" "Plectorhinchus_mediterraneus" "1.90308998699194"
"219" "ESP_493" "Umbrina_ronchus" "1.90308998699194"
"220" "ESP_254" "Chelon_labrosus" "1.95424250943932"
"221" "ESP_376" "Pagrus_caeruleostictus" "1.95424250943932"
"222" "ESP_231" "Belone_gracilis" "1.97772360528885"
"223" "ESP_415" "Sarda_sarda" "1.97772360528885"
"224" "ESP_207" "Alectis_alexandrinus" "2"
"225" "ESP_272" "Dentex_dentex" "2"
"226" "ESP_273" "Dentex_gibbosus" "2"
"227" "ESP_560" "Echelus_myrus" "2"
"228" "ESP_388" "Pleuronectes_platessa" "2"
"229" "ESP_615" "Scophthalmus_rhombus" "2"
"230" "ESP_492" "Umbrina_cirrosa" "2"
"231" "ESP_111" "Psetta_maxima" "2.04139268515822"
"232" "ESP_276" "Dicentrarchus_labrax" "2.04139268515822"
"233" "ESP_286" "Echeneis_naucrates" "2.04139268515822"
"234" "ESP_294" "Epinephelus_haifensis" "2.04139268515822"
"235" "ESP_309" "Gymnothorax_unicolor" "2.04139268515822"
"236" "ESP_354" "Mugil_cephalus" "2.07918124604762"
"237" "ESP_391" "Pomatomus_saltator" "2.07918124604762"
"238" "ESP_290" "Epinephelus_aeneus" "2.11394335230684"
"239" "ESP_371" "Orcynopsis_unicolor" "2.11394335230684"
"240" "ESP_491" "Tylosurus_acus" "2.13033376849501"
"241" "ESP_291" "Epinephelus_alexandrinus" "2.14612803567824"
"242" "ESP_559" "Dalophis_imberbis" "2.17609125905568"
"243" "ESP_293" "Epinephelus_marginatus" "2.17609125905568"
"244" "ESP_357" "Muraena_helena" "2.17609125905568"
"245" "ESP_292" "Epinephelus_caninus" "2.20411998265592"
"246" "ESP_119" "Sphyraena_viridensis" "2.21748394421391"
"247" "ESP_442" "Sphyraena_sphyraena" "2.21748394421391"
"248" "ESP_53" "Acipenser_stellatus" "2.27875360095283"
"249" "ESP_52" "Acipenser_naccarii" "2.30102999566398"
"250" "ESP_204" "Acipenser_nudiventris" "2.30102999566398"
"251" "ESP_590" "Argyrosomus_regius" "2.30102999566398"
"252" "ESP_558" "Cynoponticus_ferox" "2.30102999566398"
"253" "ESP_203" "Acipenser_gueldenstaedtii" "2.36172783601759"
"254" "ESP_205" "Acipenser_sturio" "2.47712125471966"
"255" "ESP_260" "Conger_conger" "2.47712125471966"
"256" "ESP_79" "Huso_huso" "2.60205999132796"
