"PreyNames" "PredNames" "pLHigh"
"103" 5 3 0.443851945462767
"104" 233 3 0.410743834011498
"105" 13 10 0.714610315462083
"106" 110 10 0.673988705445431
"107" 224 10 0.583407251270111
"108" 253 10 0.583407251270111
"109" 205 10 0.567106249201773
"110" 216 10 0.551375295145737
"111" 230 10 0.507421491949872
"112" 3 10 0.507421491949872
"113" 10 10 0.507421491949872
"114" 8 10 0.480632151058996
"115" 251 10 0.45568176179625
"116" 200 10 0.45568176179625
"117" 243 10 0.443851945462767
"118" 5 10 0.443851945462767
"119" 233 10 0.410743834011498
"120" 13 8 0.728584628217713
"121" 110 8 0.688282739161577
"122" 224 8 0.597886748535473
"123" 253 8 0.597886748535473
"124" 205 8 0.581549134112628
"125" 216 8 0.56576385548441
"126" 230 8 0.521562159851519
"127" 3 8 0.521562159851519
"128" 10 8 0.521562159851519
"129" 8 8 0.494554076056993
"130" 251 8 0.469354835691798
"131" 200 8 0.469354835691798
"132" 243 8 0.457391962063771
"133" 5 8 0.457391962063771
"134" 233 8 0.423860223715087
"135" 249 8 0.403320943087661
"136" 115 8 0.403320943087661
"137" 13 251 0.741691573644391
"138" 110 251 0.701742407040163
"139" 224 251 0.611623425269958
"140" 253 251 0.611623425269958
"141" 205 251 0.595267803912856
"142" 216 251 0.579446674639091
"143" 230 251 0.535051144454818
"144" 3 251 0.535051144454818
"145" 10 251 0.535051144454818
"146" 8 251 0.507858829242828
"147" 251 251 0.482443806200343
"148" 200 251 0.482443806200343
"149" 243 251 0.470363836713334
"150" 5 251 0.470363836713334
"151" 233 251 0.436454001529648
"152" 249 251 0.415646945149796
"153" 115 251 0.415646945149796
"154" 13 200 0.741691573644391
"155" 110 200 0.701742407040163
"156" 224 200 0.611623425269958
"157" 253 200 0.611623425269958
"158" 205 200 0.595267803912856
"159" 216 200 0.579446674639091
"160" 230 200 0.535051144454818
"161" 3 200 0.535051144454818
"162" 10 200 0.535051144454818
"163" 8 200 0.507858829242828
"164" 251 200 0.482443806200343
"165" 200 200 0.482443806200343
"166" 243 200 0.470363836713334
"167" 5 200 0.470363836713334
"168" 233 200 0.436454001529648
"169" 249 200 0.415646945149796
"170" 115 200 0.415646945149796
"171" 13 243 0.747944540678057
"172" 110 243 0.708182426225166
"173" 224 243 0.618232356558169
"174" 253 243 0.618232356558169
"175" 205 243 0.60187399070859
"176" 216 243 0.586041169717587
"177" 230 243 0.541567055145623
"178" 3 243 0.541567055145623
"179" 10 243 0.541567055145623
