ESPECE;ESPECES;Esp_Plato_;Artisanal_fishing;Aquaculture;Recreational_fishing;Aquarium
Dalophis_imberbis;ESP_559;1;0;0;0;0
Arnoglossus_kessleri;ESP_56;1;0;0;0;0
Echelus_myrus;ESP_560;1;1;0;0;0
Cheilopogon_heterurus;ESP_565;1;1;0;0;0
Exocoetus_volitans;ESP_567;1;1;0;0;0
Buenia_affinis;ESP_58;1;0;0;0;1
Cepola_macrophthalma;ESP_586;1;1;0;0;0
Chromogobius_quadrivittatus;ESP_59;1;0;0;0;0
Argyrosomus_regius;ESP_590;1;1;0;1;0
Kyphosus_sectator;ESP_591;1;1;0;1;1
Sparisoma_cretense;ESP_592;1;1;0;0;0
Uranoscopus_scaber;ESP_593;1;1;0;0;0
Carapus_acus;ESP_603;1;0;0;0;0
Corcyrogobius_liechtensteini;ESP_61;1;0;0;0;0
Atherina_boyeri;ESP_610;1;1;0;0;0
Scorpaena_loppei;ESP_613;1;0;0;0;0
Scophthalmus_rhombus;ESP_615;1;1;0;1;0
Solea_lascaris;ESP_620;1;1;0;0;0
Dasyatis_tortonesei;ESP_63;1;0;0;0;0
Didogobius_bentuvii;ESP_64;1;0;0;0;0
Didogobius_schlieweni;ESP_65;1;0;0;0;0
Didogobius_splechtnai;ESP_66;1;0;0;0;0
Diplodus_sargus;ESP_67;1;1;1;1;0
Eutrigla_gurnardus;ESP_69;1;1;0;0;0
Gammogobius_steinitzi;ESP_70;1;0;0;0;0
Gobius_ater;ESP_71;1;0;0;0;0
Gobius_fallax;ESP_72;1;0;0;0;0
Gobius_geniporus;ESP_73;1;0;0;0;0
Gobius_strictus;ESP_74;1;0;0;0;0
Gobius_vittatus;ESP_75;1;0;0;0;1
Gobius_xanthocephalus;ESP_76;1;0;0;0;0
Gouania_willdenowi;ESP_77;1;0;0;0;0
Gymnammodytes_cicerelus;ESP_78;1;1;0;0;0
Huso_huso;ESP_79;1;1;1;0;1
Knipowitschia_panizzae;ESP_80;1;0;0;0;0
Lepadogaster_lepadogaster;ESP_81;1;0;0;0;1
Lepidion_lepidion;ESP_82;1;1;0;0;0
Lesueurigobius_suerii;ESP_83;1;0;0;0;1
Lipophrys_adriaticus;ESP_84;1;0;0;0;0
Lipophrys_basiliscus;ESP_85;1;0;0;0;0
Lipophrys_nigriceps;ESP_86;1;0;0;0;1
Millerigobius_macrocephalus;ESP_89;1;0;0;0;0
Odondebuenia_balearica;ESP_92;1;0;0;0;0
Oligopus_ater;ESP_93;1;0;0;0;0
Opeatogenys_gracilis;ESP_94;1;0;0;0;0
Ophidion_rochei;ESP_96;1;0;0;0;0
Panturichthys_fowleri;ESP_97;1;0;0;0;0
Parablennius_zvonimiri;ESP_98;1;0;0;0;0
