"","x"
"696",7.69424073088739e-08
"697",7.69424073088739e-08
"698",4.90159234653152e-08
"699",4.90159234653152e-08
"700",4.90159234653152e-08
"701",4.90159234653152e-08
"702",4.90159234653152e-08
"703",4.13298929865118e-08
"704",3.23026384471138e-08
"705",3.23026384471138e-08
"706",3.23026384471138e-08
"707",3.23026384471138e-08
"708",3.23026384471138e-08
"709",3.23026384471138e-08
"710",3.23026384471138e-08
"711",3.23026384471138e-08
"712",3.23026384471138e-08
"713",2.19121995295315e-08
"714",1.52390994118681e-08
"715",1.52390994118681e-08
"716",1.52390994118681e-08
"717",1.52390994118681e-08
"718",1.52390994118681e-08
"719",1.52390994118681e-08
"720",1.52390994118681e-08
"721",1.52390994118681e-08
"722",1.52390994118681e-08
"723",1.08311452097852e-08
"724",1.08311452097852e-08
"725",1.08311452097852e-08
"726",1.01402176807785e-08
"727",7.84696765563444e-09
"728",7.84696765563444e-09
"729",7.84696765563444e-09
"730",7.84696765563444e-09
"731",7.84696765563444e-09
"732",4.32622132509218e-09
"733",4.32622132509218e-09
"734",3.28128629725342e-09
"735",3.28128629725342e-09
"736",2.51969822886753e-09
"737",2.51969822886753e-09
"738",2.51969822886753e-09
"739",2.51969822886753e-09
"740",2.51969822886753e-09
"741",2.51969822886753e-09
"742",2.51969822886753e-09
"743",1.53526379694681e-09
"744",1.53526379694681e-09
"745",1.53526379694681e-09
"746",1.53526379694681e-09
"747",1.53526379694681e-09
"748",9.71472636374005e-10
"749",9.71472636374005e-10
"750",6.34803246835855e-10
"751",6.34803246835855e-10
"752",5.18631613545862e-10
"753",4.2645884089941e-10
"754",2.93490890901964e-10
"755",2.93490890901964e-10
"756",2.93490890901964e-10
"757",2.06313789834425e-10
"758",1.74227906996343e-10
"759",1.74227906996343e-10
"760",7.96168144107628e-11
"761",5.96901400005919e-11
"762",5.96901400005919e-11
"763",5.96901400005919e-11
"764",5.96901400005919e-11
"765",2.69849233918943e-11
"766",5.75289146882105e-12
"767",5.75289146882105e-12
"768",1.02288773317995e-12
"769",0.00605571241492149
"770",0.00485444385670936
"771",0.00294496832955563
"772",0.00294496832955563
"773",0.00268541346956379
"774",0.00245422337108185
